Original URL,GitHub URL,CDNJS/Raw URL,File Size
https://ya-mahdi.net/apps_audio/ayatulkursi.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/ayatulkursi.m4a,https://cdnjs.cloudflare.com/ajax/libs/ayatulkursi.m4a,0.49 MB
https://ya-mahdi.net/apps_audio/ayatulkursi.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/ayatulkursi.mp3,https://cdnjs.cloudflare.com/ajax/libs/ayatulkursi.mp3,2.88 MB
https://ya-mahdi.net/apps_audio/baha.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baha.m4a,https://cdnjs.cloudflare.com/ajax/libs/baha.m4a,2.19 MB
https://ya-mahdi.net/apps_audio/baha.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baha.mp3,https://cdnjs.cloudflare.com/ajax/libs/baha.mp3,17.03 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/DoaJoshanKabir_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/DoaJoshanKabir_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/DoaJoshanKabir_baqir.m4a,8.72 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/DoaKomeil_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/DoaKomeil_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/DoaKomeil_baqir.m4a,5.00 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/DoaKomeil_baqir.mp3,https://raw.githubusercontent.com/alihusains/audio/main/apps_audio/baqir_maqdisi/DoaKomeil_baqir.mp3,https://raw.githubusercontent.com/alihusains/audio/main/apps_audio/baqir_maqdisi/DoaKomeil_baqir.mp3,29.17 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/DoaNodbeh_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/DoaNodbeh_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/DoaNodbeh_baqir.m4a,6.30 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/DoaNodbeh_baqir.mp3,https://raw.githubusercontent.com/alihusains/audio/main/apps_audio/baqir_maqdisi/DoaNodbeh_baqir.mp3,https://raw.githubusercontent.com/alihusains/audio/main/apps_audio/baqir_maqdisi/DoaNodbeh_baqir.mp3,36.76 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/DoaTavassol_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/DoaTavassol_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/DoaTavassol_baqir.m4a,2.65 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/DoaTavassol_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/DoaTavassol_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/DoaTavassol_baqir.mp3,15.56 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Doa_sahar_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Doa_sahar_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Doa_sahar_baqir.m4a,2.68 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Doa_sahar_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Doa_sahar_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Doa_sahar_baqir.mp3,15.63 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Friday_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Friday_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Friday_baqir.m4a,0.54 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Friday_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Friday_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Friday_baqir.mp3,3.13 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Manzuma_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Manzuma_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Manzuma_baqir.m4a,1.51 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Manzuma_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Manzuma_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Manzuma_baqir.mp3,8.83 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Monday_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Monday_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Monday_baqir.m4a,0.85 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Monday_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Monday_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Monday_baqir.mp3,4.95 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Saturday_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Saturday_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Saturday_baqir.m4a,0.48 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Saturday_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Saturday_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Saturday_baqir.mp3,2.79 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Thursday_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Thursday_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Thursday_baqir.m4a,0.52 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Thursday_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Thursday_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Thursday_baqir.mp3,3.00 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Tuesday_baqir.m4a,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Tuesday_baqir.m4a,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Tuesday_baqir.m4a,0.61 MB
https://ya-mahdi.net/apps_audio/baqir_maqdisi/Tuesday_baqir.mp3,https://github.com/alihusains/audio/blob/main/apps_audio/baqir_maqdisi/Tuesday_baqir.mp3,https://cdnjs.cloudflare.com/ajax/libs/baqir_maqdisi/Tuesday_baqir.mp3,3.56 MB
